alert_id,transaction_id,alert_type,alert_date,alert_status,comments
4011,1,"High Value","2023-01-15 10:30:00",Pending,"Transaction exceeded INR 1,00,000."
4012,2,"New Beneficiary","2023-03-12 14:45:00",Reviewed,"New payee added, verified."
4013,3,"Unusual Channel","2023-05-18 09:20:00",Cleared,"Login from new device."
4014,4,"High Value","2023-07-01 12:00:00",Pending,"Large cash withdrawal flagged."
4015,5,"New Beneficiary","2023-08-22 17:15:00",Reviewed,"Beneficiary added via mobile app."
4016,6,"Unusual Channel","2023-09-05 19:40:00",Cleared,"Transaction from unexpected IP."
4017,7,"High Value","2022-11-10 08:50:00",Pending,"RTGS transfer flagged."
4018,8,"New Beneficiary","2022-12-22 15:30:00",Reviewed,"Added NEFT payee."
4019,9,"Unusual Channel","2023-02-14 20:10:00",Cleared,"UPI transfer from new location."
4020,10,"High Value","2022-10-05 11:45:00",Pending,"High debit card purchase."
4031,21,"Unusual Channel","2023-08-29 21:00:00",Cleared,"Multiple failed login attempts."
4032,22,"High Value","2022-09-17 09:50:00",Pending,"Large demand draft issued."
4033,23,"New Beneficiary","2022-11-25 13:15:00",Reviewed,"Payee added at ATM."
4034,24,"Unusual Channel","2023-01-28 19:30:00",Cleared,"New browser used."
4035,25,"High Value","2023-04-10 08:35:00",Pending,"UPI transfer above limit."
4036,26,"New Beneficiary","2023-06-02 15:45:00",Reviewed,"UPI handle added."
4037,27,"Unusual Channel","2023-07-22 17:05:00",Cleared,"Access from unregistered network."
4038,28,"High Value","2023-08-08 10:20:00",Pending,"Bulk NEFT payment flagged."
4039,29,"New Beneficiary","2023-09-10 12:10:00",Reviewed,"Beneficiary added via phone banking."
4040,30,"Unusual Channel","2023-09-30 23:45:00",Cleared,"Odd hour transaction."
4041,31,"High Value","2022-10-30 11:30:00",Pending,"Online purchase over limit."
4042,32,"New Beneficiary","2022-12-15 16:50:00",Reviewed,"Added to credit card payees."
4043,33,"Unusual Channel","2023-02-20 21:20:00",Cleared,"Device change detected."
4044,34,"High Value","2023-04-25 07:15:00",Pending,"High cash deposit."
4045,35,"New Beneficiary","2023-06-10 15:00:00",Reviewed,"Third party payee verified."
4046,36,"Unusual Channel","2023-07-28 20:45:00",Cleared,"Unexpected branch visit."
4047,37,"High Value","2023-08-12 09:10:00",Pending,"High ATM withdrawal flagged."
4048,38,"New Beneficiary","2023-09-20 14:40:00",Reviewed,"Beneficiary activated."
4049,39,"Unusual Channel","2023-09-29 18:50:00",Cleared,"Suspicious app login."
4050,40,"High Value","2022-11-05 12:25:00",Pending,"Large fund transfer."
4051,41,Test,"2025-07-08 22:53:25",Pending,"Test insert"
4052,42,"Unusual Channel","2023-01-13 20:00:00",Cleared,"Some comment"
4053,43,"High Value","2023-01-14 20:00:00",Pending,"Some comment"
4054,44,"New Beneficiary","2023-01-15 20:00:00",Reviewed,"Some comment"
4055,45,"Unusual Channel","2023-01-16 20:00:00",Cleared,"Some comment"
4056,46,"High Value","2023-01-17 20:00:00",Pending,"Some comment"
4057,47,"New Beneficiary","2023-01-18 20:00:00",Reviewed,"Some comment"
4058,48,"Unusual Channel","2023-01-19 20:00:00",Cleared,"Some comment"
4059,49,"High Value","2023-01-20 20:00:00",Pending,"Some comment"
4060,50,"New Beneficiary","2023-01-21 20:00:00",Reviewed,"Some comment"
