investment_id,customer_id,investment_type,provider_name,start_date,maturity_date,amount_invested,current_value
201,1,RD,"HDFC Bank",2022-01-01,2025-01-01,100000.00,112500.00
202,2,SIP,"ICICI Prudential",2021-06-15,2026-06-15,150000.00,180000.00
203,3,RD,SBI,2023-02-10,2026-02-10,75000.00,80000.00
204,4,SIP,"Axis Mutual Fund",2020-03-05,2025-03-05,200000.00,250000.00
205,5,RD,"Kotak Mahindra",2021-05-20,2024-05-20,50000.00,55000.00
206,6,SIP,"HDFC Mutual Fund",2022-08-01,2027-08-01,120000.00,140000.00
207,7,RD,PNB,2023-04-15,2026-04-15,60000.00,63000.00
208,8,SIP,"Nippon India MF",2021-11-01,2026-11-01,180000.00,210000.00
209,9,RD,"Axis Bank",2022-07-01,2025-07-01,90000.00,96000.00
210,10,SIP,"SBI Mutual Fund",2020-12-10,2025-12-10,250000.00,300000.00
211,11,RD,"Canara Bank",2021-09-05,2024-09-05,40000.00,45000.00
212,12,SIP,"UTI Mutual Fund",2022-02-15,2027-02-15,130000.00,155000.00
213,13,RD,"IDBI Bank",2023-01-01,2026-01-01,55000.00,58000.00
214,14,SIP,"Mirae Asset",2021-07-20,2026-07-20,160000.00,200000.00
215,15,RD,"Bank of Baroda",2022-03-10,2025-03-10,45000.00,49000.00
216,16,SIP,"DSP Mutual Fund",2020-09-01,2025-09-01,210000.00,250000.00
217,17,RD,"Union Bank",2021-05-05,2024-05-05,35000.00,38000.00
218,18,SIP,"Franklin Templeton",2022-06-10,2027-06-10,140000.00,165000.00
219,19,RD,"IndusInd Bank",2023-03-01,2026-03-01,70000.00,75000.00
220,20,SIP,"ICICI Prudential",2021-08-05,2026-08-05,170000.00,200000.00
221,21,RD,"HDFC Bank",2022-04-01,2025-04-01,80000.00,86000.00
222,22,SIP,"Axis Mutual Fund",2020-10-10,2025-10-10,220000.00,270000.00
223,23,RD,SBI,2021-07-15,2024-07-15,65000.00,70000.00
224,24,SIP,"HDFC Mutual Fund",2022-01-05,2027-01-05,190000.00,220000.00
225,25,RD,"Kotak Mahindra",2023-05-20,2026-05-20,50000.00,53000.00
226,26,SIP,"Nippon India MF",2021-04-01,2026-04-01,160000.00,190000.00
227,27,RD,"Axis Bank",2022-08-15,2025-08-15,85000.00,92000.00
228,28,SIP,"SBI Mutual Fund",2020-11-20,2025-11-20,230000.00,280000.00
229,29,RD,"Canara Bank",2021-06-01,2024-06-01,42000.00,46000.00
230,30,SIP,"UTI Mutual Fund",2022-03-10,2027-03-10,140000.00,170000.00
231,31,RD,"IDBI Bank",2023-02-05,2026-02-05,58000.00,62000.00
232,32,SIP,"Mirae Asset",2021-09-15,2026-09-15,150000.00,190000.00
233,33,RD,"Bank of Baroda",2022-05-01,2025-05-01,47000.00,51000.00
234,34,SIP,"DSP Mutual Fund",2020-12-01,2025-12-01,200000.00,240000.00
235,35,RD,"Union Bank",2021-08-10,2024-08-10,37000.00,41000.00
236,36,SIP,"Franklin Templeton",2022-07-05,2027-07-05,130000.00,160000.00
237,37,RD,"IndusInd Bank",2023-04-01,2026-04-01,72000.00,77000.00
238,38,SIP,"ICICI Prudential",2021-10-05,2026-10-05,180000.00,210000.00
239,39,RD,"HDFC Bank",2022-06-10,2025-06-10,85000.00,90000.00
240,40,SIP,"Axis Mutual Fund",2020-11-01,2025-11-01,210000.00,250000.00
241,41,RD,SBI,2021-09-01,2024-09-01,67000.00,72000.00
242,42,SIP,"HDFC Mutual Fund",2022-02-20,2027-02-20,170000.00,200000.00
243,43,RD,"Kotak Mahindra",2023-06-05,2026-06-05,52000.00,55000.00
244,44,SIP,"Nippon India MF",2021-05-15,2026-05-15,150000.00,180000.00
245,45,RD,"Axis Bank",2022-09-01,2025-09-01,88000.00,95000.00
246,46,SIP,"SBI Mutual Fund",2020-12-15,2025-12-15,220000.00,260000.00
247,47,RD,"Canara Bank",2021-07-05,2024-07-05,44000.00,48000.00
248,48,SIP,"UTI Mutual Fund",2022-04-01,2027-04-01,135000.00,165000.00
249,49,RD,"IDBI Bank",2023-03-15,2026-03-15,60000.00,65000.00
250,50,SIP,"Mirae Asset",2021-10-20,2026-10-20,155000.00,190000.00
